,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40
A,3.0102432048163426,12.608278324324296,0.27718370591812097,-6.282091436370326,-4.771832209096293,1.9552510234914813,-1.0289986690857187,11.021347341781572,-4.143037534111794,-2.139523428478993,-4.905005032389038,0.5166021250184267,2.6390861007221753,-3.66048299959259,-2.815206134566274,-5.650036547857191,-0.8915524432789216,5.849306890959687,-3.5727932275767063,-4.259242958774389,-0.539478758339789,-2.877889895196667,1.1758802010477338,-1.578810568041753,-2.0992896116710784,-0.3645189481363431,-1.8437234275593721,-0.04077149839652818,0.09227080698932605,-0.9916139158784729,0.33502188381793857,-0.49865059760621305,3.9183669146453517,-0.0752889266958955,-0.5110617428718787,1.2656386501625672,0.2782654742117778,-2.9590505571711745,3.372210066029721,3.2505278860292677
AAL,-15.43195710890018,-3.039416963599728,-3.0415962776053838,5.481056254505303,9.74291661575601,-8.047103144989405,-7.834646305897043,-3.16899178711966,-6.769781298273476,-8.447625859522258,-3.5026820946085726,-4.194959053984045,8.442497545084962,8.06511135776684,-4.362584665506589,-0.47388198275256077,-1.60623200000859,1.429712674422516,3.288257198031772,-2.833338627564653,-4.74159279231619,2.723784598576364,-1.3616200653722772,-0.5598135546033137,1.7325796488748177,2.1160021162815634,5.019303792106039,0.35034677749932086,0.9040519564143549,-6.45135868189649,0.8004688831976258,-0.135022506515111,0.4485619735383421,7.176086343152428,-0.49062071469610424,1.0370890744126273,3.281216205800603,-0.6472921333794884,0.2366662041701162,3.32395570620864
AAPL,2.9027094737079504,15.96852833501766,-0.2861053943194696,-0.14785227339003737,-1.9918168988419382,3.772536367652386,-4.843341373503124,-6.919113862268282,-0.7907553936354987,0.08382682456947911,2.073993880805031,2.421299304580552,-4.4548477990252815,2.9378234219539734,1.1605277336908908,2.736364152443754,-1.0814343635119852,1.8621490281421351,-0.8626595907470312,-0.7890664941208819,-0.5463390693522294,3.277241104017208,-2.108328393961962,-0.9401103598171193,1.2562630425809398,0.953097839691934,-2.5276724135042032,6.12466933204787,0.013205627292148709,3.6708256122994403,0.8356643956655688,-1.657783713198104,-1.5281667385440085,1.6827282723953496,-2.2587088414485113,-1.3243560682056656,0.7415849144803182,0.9115082266065192,1.9410927880583138,-1.5899990309258851
ABBV,6.2862447318850885,1.226051084914336,12.31993425815759,0.4525758372038055,-8.154669220390883,-8.776848728246275,0.491969124520782,5.510524978459152,-5.927465400769898,2.519647911168493,3.9845112574875774,4.620495332753784,-2.03185408973294,2.437112936568513,4.308018922557871,-2.963116557399475,-5.831103161199212,4.164929523701677,4.683406425252243,-0.5441406596107586,1.863331335947196,1.9310812912532394,-0.911650850367881,3.202925015304766,-4.942107598688448,0.39618125752388883,0.2249033441054566,2.048663476917278,1.355142457592487,0.06527337225640441,1.8891376391886237,0.7762565073023352,-2.2173906912757086,0.009468885748712871,-0.8284321426218888,-1.6132073717142623,-1.2042240879385224,3.8186672192380153,1.5163751994005514,-0.08950137081540531
ABT,11.704933919112513,9.633363923205826,4.021468046064557,-8.66047223697069,-7.349779089656324,-3.4150196384880407,-1.9702736919756016,9.109664039647804,-6.118112329431646,-1.7643225766180943,-3.8856958415417058,0.4212786134745509,-2.2165096641530835,0.8739316810945341,0.5185147102878536,-4.356815642368256,1.9371554714292532,0.019205623379245695,1.5124589775334885,1.7452474962669668,-2.1859190990276347,2.4607538015266166,-2.3419571239379606,-1.5660548433336317,-0.47240629122650346,4.306871211145572,1.9905403236857324,-0.1448780095592713,3.864021328782363,1.775928025170421,0.6379754292008845,-1.6005214145453828,-0.5000510225761473,1.673687789314364,0.07409404983990095,-0.9116613096774812,-0.5475627940615743,2.9768412849635566,0.514030990175008,1.0284386649169723
ACGL,-1.6822934751259164,-12.237165398875803,-2.4180156860040314,-6.43671280088072,-7.711850061738834,-5.749785221586745,-2.0733628401052138,-7.1075104685195045,1.3952097831126153,3.119990984828201,3.0213949801922144,-2.5118640843248485,6.878309116720714,0.2804485607025818,0.5909070136951371,-8.032946347690844,-2.5244229770512687,-7.988017728670731,-5.851570581706521,1.132703852983427,2.1626526966864206,-2.179217994065113,-4.139868109706376,-1.5064323532639725,1.2413654256790583,-2.554750224651068,-2.067585636201387,0.2338147661628269,-1.5394228772725669,4.039213149200778,-0.15825740620720813,2.5125309372529707,0.9845207368927872,0.9022961997490075,-0.9849020053376427,0.05320137784709913,1.7375412917850124,2.8025511355677057,1.036077749373758,0.8424994133397776
ACN,1.6098923222934238,8.7451419073861,-5.272955017342165,-6.526557832191595,-5.640677815949765,1.1418898216139866,-1.1963622097663937,-3.275576181253578,2.755127892689613,-2.933402219470021,-0.6621063716706305,4.058581875184977,-3.4634158306665994,-2.442439572676872,1.003842369944741,0.9750603956033056,-2.6422981258202993,-2.8924441581442784,-1.5883624416118933,-3.6608776995815075,-2.5991161406442016,-1.0015193417877475,2.543997139918047,-2.3226369943617553,0.7616930785003589,-0.783268505737742,-1.239922877490861,1.355719535614668,-1.7250774299079628,-2.579625645859806,0.016365658267165555,-1.775152585179033,-1.1297181919584693,-0.8800080372666329,1.405254870365364,1.0493843411091726,2.271264863045935,-0.3212157292835537,-2.6072721759684874,1.9582307742007967
ADBE,4.560751832276565,22.620288384774422,-2.405963235490188,2.273078805128524,-5.890550791952562,1.3764563509078496,-5.320444321707456,-5.695351630504598,3.7875333462073284,-0.9991208175921054,2.738076438137428,0.16491504020828704,-1.904310247626505,-0.7803097644635056,2.937832592678755,5.070844134306483,-2.263285640128979,0.9452455937597652,-3.3919042188299775,-2.3856683418088274,-0.3063263550299674,-1.9519032492512587,-1.1659088304812837,1.6803374447624393,-0.8867406852617368,2.2015487779513667,-3.2231848981557314,2.331127702441751,2.1114830199871975,-0.3248577776801855,-0.4277722849065587,0.3948145409423782,-0.31127997514043537,-0.025014791386603296,0.7626890841214221,1.2225934116266142,-2.003942412455147,-1.3661364554637294,-2.261013480490859,2.146712481827143
ADI,-6.160616520922092,14.714261383741487,-3.6653662901715633,-1.1666435792988699,0.896667848318061,7.886843891896987,-4.273209668049982,-5.132140632172638,-6.4631989161236545,10.53560738794464,0.4421672513691969,6.079357946661982,-0.495029286655865,-1.3012254972776984,-2.1880898059782248,-2.2983534508823826,2.106897671810679,2.802714658000146,2.307001474497715,4.569463587336362,-0.4425220164036596,-0.5937457904241453,-0.19099901173690156,0.7905017402930924,3.210780467033037,-0.8425270436705734,-0.7038566103900497,0.5932526796310789,-1.327500648208444,1.4414223923752487,2.5331829159431942,0.8744125339950779,0.09606515707242487,2.2540828643328847,2.5481710923855574,-0.42055640063232047,-1.8563610963492023,-0.9688426992056912,0.8888891998499232,1.3919516784805575
ADM,-1.558793257332017,-9.514460917464879,9.144102589731686,-0.4891453708056837,0.3113576390254607,4.981094559665106,-0.4588996335831604,-1.6951889208163722,-0.3769037815704209,1.7551083050517662,-1.5820454369921444,1.0961252657984835,2.2314882548316395,-1.182437882118144,-2.5245106737438516,2.24736921928182,1.2783577435127484,-0.28339986462727274,-2.3344992408454317,1.0098189400759596,1.1699588503675509,0.893166732070815,2.227416913345246,-5.608496306685413,3.6860991656304574,4.410546347720277,-9.076593050580943,-2.607362966470422,0.5363169738161304,0.4606656425313521,6.292431914039306,-4.7317440489190075,4.930522547427738,-2.916058655716567,-1.3393006391105329,1.0390917940965423,-1.9473086535316582,1.0564407346254086,-1.6631851495031273,3.349015031310662
