,0,1,2
A,13.799941,10.532969,-1.030204
AAL,-9.694422,-9.272758,0.5169643
AAPL,0.21423748,18.759165,-2.0626447
ABBV,17.133244,3.435651,-7.875369
ABT,12.487381,8.524612,-5.64264
ACGL,-12.851455,-11.423556,9.199123
ACN,2.5441587,6.975566,0.109439746
ADBE,2.503456,17.394608,-0.8476434
ADI,-7.031064,15.4338255,-1.5927852
ADM,-13.062669,-0.28620866,-4.1151886
ADP,2.8810503,5.24452,0.24178593
ADSK,2.2719047,14.010997,-0.088076144
AEE,10.505263,-12.667968,-7.849106
AEP,11.47792,-13.548316,-9.504778
AES,3.2645738,-11.581657,-6.439017
AFL,-11.525457,-6.478044,7.1982374
AIG,-12.347806,-7.4810014,6.4703317
AIZ,-10.812522,-8.390639,9.545034
AJG,4.4142876,6.1505775,7.852774
AKAM,0.7354417,13.492852,5.309935
ALB,-5.1635575,2.4004507,-4.6985826
ALGN,8.195661,11.685097,-4.690719
ALL,-12.04282,-7.736139,10.405428
ALLE,-2.3417816,2.700064,2.1877606
AMAT,-5.236429,16.766903,-0.708982
AMCR,-2.4410563,0.78305215,-3.9893513
AMD,-1.842922,16.254887,2.1995723
AME,-5.408544,4.831006,4.3915763
AMGN,17.390823,4.7452416,-6.6962295
AMP,-14.805009,-6.6525593,3.2683854
AMT,10.105694,-14.211998,1.4188144
AMZN,3.6450105,19.68214,-0.9946505
ANET,-0.739972,14.402055,3.3255641
ANSS,1.5457579,15.098891,-1.292193
AON,6.141002,5.775767,9.596853
AOS,-1.7107946,2.7717056,4.6249075
APA,-15.065094,-13.291255,-7.6687455
APD,-3.1630664,4.1694136,-2.3457441
APH,-2.8620846,7.841487,1.3373573
APTV,-8.830829,-3.5952625,-2.4647624
ARE,6.537308,-15.430176,1.227138
ATO,10.781479,-14.17374,-5.544638
AVB,4.266136,-17.790033,-0.7341633
AVGO,-5.071611,16.733984,1.3364218
AVY,-2.5018394,2.4801602,-1.2658986
AWK,11.745434,-11.2318,-9.308641
AXON,5.287223,15.175595,3.4739418
AXP,-12.322405,-3.9657838,5.2087755
AZO,2.3213706,-2.9852955,8.715943
BA,-6.636118,-7.248595,2.7109892
BAC,-17.740696,-3.8400495,4.5498085
BALL,-2.0442731,4.1108994,-4.4121165
BAX,11.955215,7.581603,-7.1977587
BBWI,0.7429275,-4.238396,1.8402094
BBY,2.669634,-2.2430654,4.1616
BDX,12.881726,7.039105,-6.492173
BEN,-13.331318,-4.107847,0.14844173
BG,-13.854109,-0.0066942046,-3.8841248
BIIB,18.769756,5.158324,-8.70635
BIO,13.152047,12.30137,-2.7632499
BK,-17.00982,-5.47523,3.7550719
BKNG,-4.499626,-11.35261,-0.8556447
BKR,-13.988592,-13.686018,-4.1559067
BLDR,-5.0901084,4.2839117,-9.460518
BLK,-3.5909548,8.19185,-2.5819392
BMY,16.283953,2.7713342,-6.915698
BR,4.2715664,7.396092,-1.1628639
BRO,5.515142,5.269603,7.784764
BSX,9.056706,9.096523,-8.114116
BWA,-7.9661746,-2.3883424,-1.377138
BX,-2.1234102,9.301875,-2.4269025
BXP,1.4336883,-15.965842,1.1742163
