,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
901,DUK,ENPH,-3.9227431051188777,0.0092254111612112,7.188884073092016,0.0067245665174003,0.4097222127946892,52.15403085305694,111,0.9500000000000002,10.517144428205716
849,DLTR,ENPH,-3.673073244702573,0.01983776858668,2.7246621742567787,0.018532384112345,0.4074589512773789,70.40265572441635,59,0.8,10.19522874360644
742,CZR,ETSY,-4.411852232253896,0.0017031970060285,2.2881534111686355,0.0062947547368837,0.4406503315372778,57.508408775737415,60,1.6000000000000008,8.490280603341338
744,CZR,NKE,-4.245216579105818,0.0031121883892712,1.159681040822273,0.0133363301291304,0.4072886911743505,65.68897489902525,38,1.2000000000000004,8.342574507423198
319,APTV,ETSY,-4.130475948609047,0.004637909385822,1.9558783696996989,0.0013528220213699,0.3760769833769524,46.333395263146016,121,0.9000000000000001,7.031082473225246
741,CZR,EPAM,-4.372293521912446,0.0019701070806985,5.230378789111779,0.0141341141905841,0.4563796923085022,74.70608237531404,40,1.5500000000000007,6.7609479581631104
1287,HOLX,TSLA,-3.800706770543298,0.0135264737091949,6.041250825621896,0.0138586739522514,0.4496422299840151,64.92792971476095,87,0.8500000000000001,6.687966918846692
1045,ENPH,JNJ,-4.055910278048248,0.0059673021884866,0.1866620285563529,0.0001471650485902,0.4056880798983756,39.55750638420688,83,0.9000000000000001,6.65379144462786
159,ALGN,CZR,-5.14195054397711,8.951541304031672e-05,0.147968773278888,0.0001139730025217,0.373032163098649,34.10455730783999,92,1.7000000000000008,6.388089524390473
970,DXCM,SPGI,-3.7923837895184,0.0138760306785002,2.452706733983913,0.0026252209246353,0.4134805261681744,48.20155368204723,55,0.8500000000000001,6.118240376781087
583,CL,FCX,-3.809735246717641,0.0131561179085927,1.4497256883144605,0.0175175849418887,0.4050892603158184,63.88972043105354,71,0.8,6.07101519081153
441,BIO,ETSY,-3.936727073765392,0.00882061689683,0.3585749925632079,0.0004603939561841,0.4385004981977922,42.9094597035851,64,0.8,6.070664663045592
1863,ON,PEP,-3.788956000127535,0.0140223006726784,0.9729910289633048,0.0027930317982431,0.3941906962646689,45.04899122158669,81,1.1000000000000003,5.973526080217871
746,CZR,ZBRA,-4.77760368056295,0.0004132334329808,5.255972526365248,0.0141167311386885,0.3913240848722364,63.439039771333285,88,1.7500000000000009,5.883727014375346
818,DGX,TSLA,-4.634397908075007,0.0007302144372362,4.158015684971501,0.0089024913428171,0.4487099794351992,61.55155200156735,45,1.0000000000000002,5.835405664739692
965,DXCM,MCO,-3.799516039389958,0.0135760008122486,2.080047078014553,0.0057799270671683,0.4112955843878859,52.057246564147526,67,0.9500000000000002,5.814674649753841
1165,FTNT,JBHT,-4.470339371027883,0.0013695596017303,1.656302435002026,0.0002059977392706,0.3858941540641215,36.52065251088301,80,0.8,5.7997852867127815
784,DGX,ENPH,-4.1428796687277405,0.0044450169785697,3.3289525277722465,0.0154015975368157,0.4604331096952055,67.13824079648161,63,0.8,5.752689013974066
545,CF,DLTR,-4.635923683668396,0.000725870154546,0.9985751546638312,2.1875574533028503e-05,0.3605869376795253,29.26064773710095,88,0.8500000000000001,5.661266448024791
743,CZR,KMX,-4.462146197659246,0.0014123127867551,0.8496133792400473,0.0008972664900215,0.3707142043545622,43.35163279437706,90,1.1500000000000004,5.572092537333422
589,CL,MU,-3.871954781101375,0.0108392118253702,2.570199842357836,0.0151236808577933,0.4040383206071734,65.89844156569372,71,0.9000000000000001,5.454299357021388
1047,EPAM,ETSY,-3.989708096984669,0.0074276787795248,0.394626445075484,0.0001708811668301,0.4287489381351262,41.96181672251527,77,0.8500000000000001,5.444087064151715
1596,LH,TSLA,-4.4035625705395205,0.0017561786016697,2.2508578017536447,0.0020439783758293,0.4089829304173871,48.5259348440796,71,1.3000000000000005,5.379123717273184
1522,JNPR,TRGP,-4.62700946882751,0.0007515990047299,4.472038469086463,0.0097208907613432,0.4039012684840875,57.82251492017544,85,0.8,5.328429568656009
968,DXCM,NDSN,-3.954733600510502,0.0083228853632975,1.2004226409089953,0.0010232957070065,0.4239329810315089,45.61472668994972,81,0.8,5.276359474888808
1540,KHC,PCG,-4.270377887066999,0.0028464332979979,0.949366231340942,0.001825799774119,0.4225846612922652,50.46184491876885,80,1.3000000000000005,5.270831189554525
721,CTLT,GNRC,-4.077405329584863,0.0055524081172878,3.38214423753522,0.0051138006949367,0.4257938745940832,54.77999649534696,44,0.8,5.224173473767812
353,AWK,PODD,-3.86661237764968,0.0110228147832682,2.6755699524216725,1.1610241801858844e-05,0.3921908612113249,28.19856108268199,123,1.0000000000000002,5.221408512251706
384,BBY,ETSY,-3.7966623509236497,0.0136953502494669,2.3421930296359896,0.0083489030906279,0.452017094282652,61.55030074149837,65,0.9000000000000001,5.204559017375354
1148,FCX,NXPI,-4.220528715328056,0.0033949477993211,3.493006087269685,0.0013444439582514,0.4099830965587013,40.68435029654992,102,0.8,5.198023519867022
1637,LNT,PODD,-3.948309436820806,0.0084974877744823,10.748765811741748,0.0005080880018368,0.3885626336238256,41.53355059429691,115,0.8,5.154982194867064
1783,MO,PCG,-3.857144160504797,0.0113550278495385,1.8439164697316544,0.0038832900122383,0.4028330668286162,56.17427351534827,86,1.4000000000000006,5.142787749241644
197,AMAT,VMC,-4.629864213315314,0.0007432676332071,0.8043515455426901,5.217749640221442e-05,0.3738415250942433,29.251229647339848,66,1.0500000000000005,5.140736569182746
1707,MCHP,MOH,-3.76416642423116,0.0151212725147994,4.990100228270512,0.0056501962555687,0.4241859514375455,51.88513080708525,75,1.0500000000000005,5.119686683848163
158,ALGN,BBY,-3.852899258139893,0.011506842153423,0.134568620065455,0.0006898509077509,0.419803599711763,45.21975975516827,121,0.9000000000000001,5.064782413389962
766,DECK,URI,-3.678264670641057,0.0195379973821952,0.7272972952589593,0.0015571948894521,0.4186763675854725,41.595438520488855,52,1.1000000000000003,5.063528664920754
1876,PANW,URI,-3.906168084163805,0.0097267119768714,1.9060377042819123,0.000425841779649,0.427926936483171,39.22341120288756,63,0.8,5.043205373680536
439,BIIB,WYNN,-3.882338854631138,0.0104901252579062,0.2990399326336468,0.0190909710369114,0.4628525294083922,76.14825911701776,49,0.8,5.034333260692014
1185,GEN,WDC,-4.934190854564459,0.0002171405887834,3.1113381872233576,0.0009942352451989,0.3931186626166864,43.76852712873305,94,0.8500000000000001,5.0342628885004
1256,HES,ORLY,-3.872632731961252,0.010816108650808,6.388381500004636,0.0030410298232521,0.3883713507856594,51.67281557050464,101,1.0000000000000002,5.031953834958408
83,ADI,MOH,-3.79988597884191,0.0135605964511605,2.3443905602217874,0.0029776079236749,0.4151724463370809,44.984916618350326,61,0.8,5.019008565420645
361,AXON,DHI,-5.343472279208863,3.664608554092513e-05,0.4241779180542592,0.0005539784449867,0.4164909074297507,37.29485743248825,76,1.0000000000000002,5.016566318217471
1437,IVZ,MHK,-5.444306193748021,2.3163853267513745e-05,6.96677299296665,1.0139453328847384e-05,0.3489401414818583,30.316719351440376,71,0.8,5.013794106634228
194,AMAT,MLM,-4.299935031624035,0.0025610202938473,2.127651664911,0.0001533922629389,0.3787025951509118,31.486703651567293,94,0.8,5.006188164333004
1516,JNPR,MRO,-4.024956528841629,0.0066142342975731,1.282849860563077,0.0129518868641111,0.4191831508680031,66.44190529307693,63,0.8500000000000001,4.991655851627384
1255,HES,ON,-3.769096158284383,0.0148968674404876,0.6457493239793548,0.0019076628836954,0.4133824799971552,47.085647549430725,88,0.8,4.960734030142492
1981,SMCI,WAB,-3.731793857756899,0.0166702628728681,0.0849146776949349,0.0063017867930378,0.4488823026221512,56.66587797942106,85,0.8,4.947279115932623
458,BLDR,LLY,-5.457125742588645,2.1839616835401464e-05,3.669358235785588,0.0005396433087819,0.4606145877096938,36.36444630491391,69,1.0500000000000005,4.900545961236788
270,ANET,LLY,-3.703739219529631,0.0181235614233208,2.688105395869579,0.0006097783352807,0.4188325518667141,41.16055738371277,81,0.8,4.881462598318068
444,BIO,PAYC,-3.8115138773577777,0.0130842250684192,0.7296194424440635,0.0023208971851573,0.4056030370993297,49.1102373375446,53,0.8,4.8284445952160615
1691,MAS,NOW,-4.569488740316119,0.0009393491527339,16.502158601990395,0.0004188386249414,0.4068901134288665,39.53566801106639,96,1.3000000000000005,4.818843772507671
389,BBY,TTWO,-4.326089560286267,0.0023307378261662,1.6020263809238902,0.0004523569679868,0.379082992400464,38.48191129863106,87,0.9500000000000002,4.8176356852656905
971,DXCM,WTW,-3.736987385772546,0.0164127420202916,0.8925246171686485,0.0023830209837713,0.4336944005093296,50.44965581349824,93,0.8500000000000001,4.812455376739505
1587,LH,LYV,-3.6748650088495234,0.0197338560588982,0.520794291969606,0.0036548002867858,0.3903113331790691,45.67094878658192,93,0.9500000000000002,4.793924943915926
360,AXON,DECK,-4.070490896906263,0.0056829190589142,2.5853802463057294,0.0010464527341869,0.4190929985329996,38.08972843422895,86,0.8500000000000001,4.786258947891858
352,AWK,PAYC,-5.1243383348375495,9.663301764353235e-05,3.697140517984805,3.764685042927228e-05,0.366516375780958,29.248993673671887,105,0.9000000000000001,4.785612508199073
318,APTV,CZR,-4.593658561886936,0.0008556541863658,0.7942613340198578,0.0001409852710582,0.3802445135253428,36.868866531035216,86,0.8,4.750593044678684
975,EBAY,EPAM,-3.742050123106296,0.0161650760343782,11.254509404926608,0.0056313289326667,0.4250418186980491,48.07261627058661,77,0.8,4.749982103236899
1342,HSIC,TSLA,-4.381801459783829,0.0019026293999628,9.319515698766237,0.0123091062473505,0.3945845796706547,65.1122679633996,81,1.3500000000000003,4.719896186131438
1581,LEN,PANW,-3.761917256794311,0.0152246420218141,2.244374750104592,0.0011857803885682,0.4422302992768517,44.89211771975607,76,0.9000000000000001,4.717630573272326
949,DUK,TSLA,-4.472393036972528,0.0013590339747937,8.791850653671123,0.0084961180816231,0.3876486412180358,52.79547618465861,109,1.850000000000001,4.712259076619795
960,DXCM,EQIX,-3.930442568720103,0.0090005207759468,3.625229202869829,0.0003456598869631,0.4182495133865787,37.3084130062032,102,0.8,4.708216671587852
1311,HPE,OKE,-4.958219193961571,0.0001963540087189,4.780989065381059,0.000170740143728,0.4074426983971302,35.42343422529082,143,0.9500000000000002,4.698944765897705
460,BLDR,PCAR,-3.9960852238855535,0.0072741379871079,0.3704965542922541,6.655412771355886e-05,0.3890815939227887,34.41454094054908,63,0.8,4.693858745508784
2064,WDC,WRK,-4.413396731926608,0.0016934912944741,0.5319340261101582,0.00033059331471,0.368157792171644,38.96415896981528,103,0.8,4.675241687224399
1557,KMX,MTCH,-4.793632902492175,0.0003872752356939,1.6682497942363317,0.000198838228734,0.3956645912347418,35.980505318451755,94,0.9000000000000001,4.66467812067532
199,AMD,FAST,-4.88024655115827,0.0002716843756084,0.3057865472948883,4.196617165138051e-06,0.3670194272839676,22.32689562155145,130,0.8,4.662470044698548
