,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
0,A,AVY,-3.992017134,0.00737175,1.245724536,0.001497053,0.397679549,37.00303486,117,0.8,5.183793984561557
1,A,DGX,-4.205360097,0.003580186,0.561827353,0.000161286,0.422546947,36.59120529,96,0.8,8.947154637206499
2,A,MS,-3.843708189,0.011841754,0.597435099,0.002614047,0.407521645,50.032469,78,0.8,9.368341097646566
3,A,MTD,-3.814589955,0.01296071,10.11593464,0.001257497,0.418362237,40.97688328,105,0.8,3.5357372018502264
4,A,NDAQ,-4.611752941,0.000797631,0.395134458,0.00012132,0.373605243,29.04345775,90,1.1500000000000004,8.504370977271588
5,A,TXN,-4.087380468,0.00536892,1.094013321,0.000690104,0.401509551,34.35107501,117,0.8500000000000001,6.033049588092654
6,A,WTW,-3.722679802,0.017130763,1.065470079,0.002340307,0.43209744,49.40240822,89,0.9000000000000001,5.416212582276118
7,AAL,AMGN,-3.759812984,0.015321915,-2.435665781,0.013616897,0.401763355,51.06341254,97,1.4000000000000006,1.6614052055268065
8,AAL,APD,-3.776523939,0.014564294,-3.805466597,0.00274675,0.418602888,52.41357868,74,1.950000000000001,0.8450695590392509
9,AAL,CCL,-3.701943682,0.018220239,1.478702706,0.006149427,0.404188203,57.34680535,82,1.3500000000000005,8.695412989611167
10,AAL,CHD,-3.839703262,0.011990381,-1.255715842,0.019290946,0.432202084,65.08254394,93,1.3000000000000005,1.1825356070582018
11,AAL,LULU,-4.018452149,0.00675799,-8.807534369,0.003568636,0.444400141,58.54601472,106,0.9500000000000002,1.1565707139839039
12,AAL,MDLZ,-3.784608493,0.014209775,-0.658490261,0.015983808,0.42714542,60.24869703,91,0.8,0.6718405552621308
13,AAL,MO,-3.792106417,0.013887816,0.689042812,0.001955514,0.408201255,48.49811545,117,0.8,9.694005998542174
14,AAPL,DGX,-3.832496154,0.012262023,0.347839179,0.00209754,0.428675449,51.48161776,84,0.8,8.995970522359963
15,AAPL,FAST,-3.752770692,0.015651449,0.249663193,0.002782899,0.385654453,50.59773225,133,0.8500000000000001,8.71169512847873
16,AAPL,HOLX,-3.974121231,0.007815332,0.268542052,0.000605959,0.406794262,45.84960415,110,0.8,9.152704639938323
17,AAPL,ITW,-3.741064115,0.016213052,0.764196376,0.001334689,0.431075628,50.3403047,104,0.8,9.317525739521447
