,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
0,A,AVY,-3.992017133824588,0.0073717502402438,1.2457245359595834,0.0014970526431331,0.3976795492476589,37.00303485997136,117,0.8,2.6956715378421645
1,A,DGX,-4.205360097340087,0.0035801857301361,0.561827353318185,0.0001612862552065,0.4225469465657398,36.59120529204712,96,0.8,3.29783272574839
2,A,MS,-3.84370818931014,0.011841754497289,0.5974350989505954,0.0026140467954379,0.407521644754973,50.032469002507455,78,0.8,3.320635920087366
3,A,MTD,-3.81458995527532,0.0129607101336781,10.115934637230492,0.0012574972228834,0.4183622366855647,40.97688327534405,105,0.8,2.307756374053509
4,A,NDAQ,-4.611752940545274,0.0007976311411668,0.3951344583403612,0.0001213202516608,0.3736052425914933,29.0434577455576,90,1.1500000000000004,3.2367581863324033
5,A,TXN,-4.087380468357172,0.005368920401054,1.0940133207089078,0.0006901042919551,0.4015095514814957,34.35107500988401,117,0.8500000000000001,2.8628207405692185
6,A,WTW,-3.72267980199891,0.0171307630740842,1.065470078822437,0.0023403071097945,0.4320974399670455,49.40240821853362,89,0.9000000000000001,2.7876933203689274
7,AAL,AMGN,-3.759812983934822,0.0153219154037627,-2.435665781261654,0.0136168972754811,0.4017633550124229,51.06341254021508,97,1.4000000000000006,1.6749074411512246
8,AAL,APD,-3.776523938813158,0.0145642937294319,-3.805466597485855,0.0027467498711485,0.4186028881076538,52.41357867938485,74,1.950000000000001,0.8585961159946867
9,AAL,CCL,-3.701943681629335,0.0182202387895785,1.478702705581445,0.0061494267640771,0.4041882031962537,57.346805350070944,82,1.3500000000000005,3.6493011626456204
10,AAL,CHD,-3.8397032622660254,0.0119903806937337,-1.2557158415433731,0.0192909458974326,0.4322020839359956,65.08254393802342,93,1.3000000000000005,1.3413208876563405
11,AAL,LULU,-4.01845214872701,0.0067579901281826,-8.807534369106115,0.0035686358651159,0.4444001410389054,58.54601471837948,106,0.9500000000000002,1.5913756468517892
12,AAL,MDLZ,-3.7846084933892015,0.0142097754614809,-0.6584902606054105,0.0159838079028982,0.4271454199165325,60.24869703291124,91,0.8,0.8257876681469154
13,AAL,MO,-3.792106417140871,0.0138878163070623,0.6890428124040384,0.0019555137950598,0.4082012547995833,48.49811545115487,117,0.8,3.4623062855761675
14,AAPL,DGX,-3.8324961541045823,0.012262022515589,0.3478391790736281,0.0020975395939515,0.4286754491279835,51.48161776389436,84,0.8,3.356935684908124
15,AAPL,FAST,-3.752770692187948,0.015651448883852,0.2496631927590226,0.0027828991590977,0.3856544531822756,50.59773225384657,133,1.0000000000000002,3.352214243615384
16,AAPL,HOLX,-3.9741212307200993,0.0078153320562821,0.2685420524448268,0.0006059591207585,0.4067942621039889,45.849604151122826,110,0.8,3.33449250118663
17,AAPL,ITW,-3.7410641153591033,0.0162130517994906,0.7641963756583443,0.0013346885101507,0.4310756280377748,50.34030469956306,104,0.8,3.3862792254688006
18,AAPL,LOW,-4.2873877865305765,0.0026787919518655,0.9955275314527974,0.0003322887163541,0.4036605803686264,38.28661600068463,99,0.9000000000000001,2.9519381129561397
19,AAPL,MCHP,-3.943320453805136,0.0086353457689321,0.3229780610216959,0.0006973380541135,0.384346209868356,42.28147768195029,81,1.2000000000000004,3.7919021048499184
20,AAPL,MOH,-3.8429017396791,0.0118715501563959,1.8093252718544568,0.0019676380691098,0.4107853701219328,51.600561126549344,100,1.0500000000000003,3.908414087905614
21,AAPL,NDSN,-3.922477611942582,0.0092332548767566,0.9308940522029496,0.0007538165620152,0.4276718839922418,45.19245665154251,101,0.9000000000000001,3.8702682103111212
22,AAPL,ODFL,-4.180939222033875,0.0038979727755948,1.023706447077248,0.0021259372297517,0.4115389299557803,48.03045734021891,102,1.950000000000001,2.1072623475244407
